id,block_type,category,template,concept_style
"11","Specifications","생활용품","<div style='text-align: center; padding: 60px 20px; background-color: #ffffff;'><h2 style='font-family: 'Helvetica', sans-serif; font-weight: bold; font-size: 32px; color: #000; margin-bottom: 40px;'>SIZE</h2><img src='[칫솔의 전체 길이, 헤드 길이, 폭 등 상세 사이즈를 표시한 다이어그램 이미지]' alt='칫솔 상세 사이즈' style='width: 100%; max-width: 700px;'/></div>","제품의 상세 사이즈를 다이어그램과 숫자로 정확하게 표시하는 정보 전달 중심의 스타일입니다. 군더더기 없는 디자인으로 필요한 정보만을 명확하게 제공하여 구매 결정을 돕습니다."
"12","UsageGuide","생활용품","<div style='padding: 60px 20px; background-color: #f7f3f0; max-width: 800px; margin: auto;'><h3 style='font-family: 'Helvetica', sans-serif; font-weight: bold; font-size: 24px; color: #333;'>HOW TO USE</h3><p style='font-family: 'Noto Sans KR', sans-serif; font-size: 16px; color: #555; margin-top: 15px;'>칫솔에 적당량의 치약을 묻혀 칫솔질을 합니다.</p><hr style='border: 1px solid #ddd; margin: 40px 0;'/><h3 style='font-family: 'Helvetica', sans-serif; font-weight: bold; font-size: 24px; color: #333;'>사용시 주의사항</h3><ul style='font-family: 'Noto Sans KR', sans-serif; font-size: 14px; color: #555; margin-top: 15px; padding-left: 20px; text-align: left;'><li style='margin-bottom: 10px;'>용도 이외에는 사용하지 마십시오.</li><li style='margin-bottom: 10px;'>잇몸이 상하지 않도록 과도한 힘을 주어 닦지 마십시오.</li><li style='margin-bottom: 10px;'>사용 후에는 흐르는 물에 깨끗이 씻어 건조한 곳에 보관하십시오.</li><li style='margin-bottom: 10px;'>뜨거운 물에 삶거나 소독하지 마십시오. 변형의 원인이 될 수 있습니다.</li></ul></div>","텍스트를 중심으로 사용 방법과 주의사항을 명확하게 구분하여 전달하는 정보 제공 스타일입니다. 깔끔한 레이아웃과 리스트를 활용하여 가독성을 높였습니다."
"13","Specifications","생활용품","<div style='padding: 60px 20px; background-color: #ffffff; max-width: 800px; margin: auto;'><h3 style='font-family: 'Helvetica', sans-serif; font-weight: bold; font-size: 24px; color: #333; border-bottom: 2px solid #333; padding-bottom: 10px;'>상품 정보 고시</h3><table style='width: 100%; border-collapse: collapse; margin-top: 20px; font-size: 14px;'><tr style='border-bottom: 1px solid #eee;'><td style='padding: 15px; background-color: #f9f9f9; font-weight: bold; width: 30%;'>제품명</td><td style='padding: 15px;'>쿤달 딥 클린 항균 칫솔</td></tr><tr style='border-bottom: 1px solid #eee;'><td style='padding: 15px; background-color: #f9f9f9; font-weight: bold;'>수량</td><td style='padding: 15px;'>6개입</td></tr><tr style='border-bottom: 1px solid #eee;'><td style='padding: 15px; background-color: #f9f9f9; font-weight: bold;'>재질</td><td style='padding: 15px;'>칫솔대: PP, 칫솔모: PBT</td></tr><tr style='border-bottom: 1px solid #eee;'><td style='padding: 15px; background-color: #f9f9f9; font-weight: bold;'>제조국</td><td style='padding: 15px;'>대한민국</td></tr><tr style='border-bottom: 1px solid #eee;'><td style='padding: 15px; background-color: #f9f9f9; font-weight: bold;'>제조판매업자</td><td style='padding: 15px;'>(주)더스킨팩토리</td></tr></table></div>","상품 필수 정보를 표(table) 형식으로 일목요연하게 정리한 스타일입니다. 배경색을 이용하여 항목과 내용을 구분함으로써 가독성을 높이고, 규정에 따른 정보를 정확하게 전달합니다."
"14","BrandStory","생활용품","<div style='padding: 80px 20px; background-color: #f7f3f0; text-align: center;'><h2 style='font-family: 'Helvetica', sans-serif; font-weight: bold; font-size: 36px; color: #333; letter-spacing: 2px;'>KUNDAL BRAND STORY</h2><hr style='width: 50px; border: 1px solid #333; margin: 30px auto;'/><p style='font-family: 'Noto Sans KR', sans-serif; font-size: 16px; color: #555; line-height: 1.8;'>쿤달은 자연의 순수함과 풍요로움을 담아<br>일상에 특별한 가치를 더하는 것을 목표로 합니다.<br>엄격한 기준으로 선별한 성분과 전문 조향사의 기술로<br>최고의 제품을 만들기 위해 노력합니다.</p><img src='[자연 속에서 영감을 받는 듯한 감성적인 브랜드 스토리 이미지]' alt='쿤달 브랜드 스토리' style='width: 100%; max-width: 800px; margin-top: 40px;'/></div>","감성적이고 서술적인 브랜드 스토리텔링 스타일입니다. 차분한 배경색과 세련된 타이포그래피, 감성적인 이미지를 사용하여 브랜드의 철학과 비전을 이야기 형식으로 전달하며 소비자에게 깊은 인상을 남깁니다."
"15","BrandStory","생활용품","<div style='background: #0d1223; text-align: center; padding: 80px 20px;'><h2 style='font-family: 'Helvetica', sans-serif; font-weight: bold; font-size: 36px; color: #fff; letter-spacing: 2px;'>KUNDAL BRAND AWARD</h2><img src='[금색의 2021 대한민국 퍼스트브랜드 대상 수상 엠블럼]' alt='퍼스트브랜드 대상 2021' style='width: 100%; max-width: 180px; margin-top: 30px;'/><p style='color: white; font-size: 18px; margin-top: 15px;'>2년 연속 대상 수상</p><div style='display: flex; justify-content: center; align-items: center; gap: 20px; margin-top: 30px;'><img src='[TB로고]' alt='TB 로고' style='height: 40px;'/><img src='[금색 왕관 어워드 로고]' alt='어워드 로고 2' style='height: 50px;'/><img src='[Hi Seoul 어워드 로고]' alt='하이서울 어워드' style='height: 50px;'/><img src='[소비자 대상 어워드 로고]' alt='어워드 로고 4' style='height: 50px;'/><img src='[2017년 어워드 로고]' alt='어워드 로고 5' style='height: 50px;'/></div></div>","고급스럽고 신뢰감을 주는 어워드 수상내역 강조 스타일입니다. 어두운 네이비 컬러 배경에 골드 컬러의 엠블럼과 로고를 사용하여 프리미엄 브랜드 이미지를 구축하고, 다수의 수상 경력을 나열하여 전문성을 어필합니다."
"16","BrandStory","생활용품","<div style='position: relative; padding: 80px 20px; text-align: center;'><div style='position: absolute; top: 0; left: 0; right: 0; bottom: 0; background: url('[싱그러운 녹색 나뭇잎 배경 이미지]') no-repeat center center; background-size: cover; z-index: -1;'></div><div style='background-color: rgba(255, 255, 255, 0.85); padding: 40px; max-width: 600px; margin: auto;'><p style='color: #6e8c03; font-weight: bold;'>KUNDAL MAKES WORTH</p><h3 style='font-size: 28px; font-weight: bold; margin-top: 10px;'>쿤달은 가치를 만듭니다</h3><p style='margin-top: 15px; color: #555; line-height: 1.6;'>쿤달은 일상의 일상 속 모든 순간을 향기롭게,<br/>본질적인 아름다움을 이끄는 본연의 아름다움을 추구합니다.</p><div style='display: flex; justify-content: space-around; flex-wrap: wrap; margin-top: 30px; gap: 20px;'><div style='text-align: center;'><div style='width: 80px; height: 80px; border: 1px solid #ccc; border-radius: 50%; display: flex; align-items: center; justify-content: center;'><img src='[새싹을 든 손 아이콘]' style='width: 40px;'/></div><p style='margin-top: 10px; font-size: 14px;'>엄선한<br/>유해성분</p></div><div style='text-align: center;'><div style='width: 80px; height: 80px; border: 1px solid #ccc; border-radius: 50%; display: flex; align-items: center; justify-content: center;'><img src='[플라스크 아이콘]' style='width: 40px;'/></div><p style='margin-top: 10px; font-size: 14px;'>풍부한<br/>자연유래 레시피</p></div><div style='text-align: center;'><div style='width: 80px; height: 80px; border: 1px solid #ccc; border-radius: 50%; display: flex; align-items: center; justify-content: center;'><img src='[현미경 아이콘]' style='width: 40px;'/></div><p style='margin-top: 10px; font-size: 14px;'>더 좋은 품질을 위한<br/>끊임없는 연구</p></div><div style='text-align: center;'><div style='width: 80px; height: 80px; border: 1px solid #ccc; border-radius: 50%; display: flex; align-items: center; justify-content: center;'><img src='[꽃 아이콘]' style='width: 40px;'/></div><p style='margin-top: 10px; font-size: 14px;'>쿤달 시그니처<br/>프리미엄 향기</p></div><div style='text-align: center;'><div style='width: 80px; height: 80px; border: 1px solid #ccc; border-radius: 50%; display: flex; align-items: center; justify-content: center;'><img src='[가격표 아이콘]' style='width: 40px;'/></div><p style='margin-top: 10px; font-size: 14px;'>합리적인 가격</p></div></div><p style='margin-top: 40px; color: #555; line-height: 1.6; font-size: 14px;'>쿤달은 불필요한 공정과 포장재는 과감히 생략하고,<br/>더 좋은 성분을 담기 위해 끊임없이 고민합니다.</p></div></div>","자연 친화적이고 신뢰감을 주는 브랜드 철학 소개 스타일입니다. 녹색 나뭇잎을 배경으로 사용하여 자연주의 컨셉을 강조하고, 라인 아이콘과 간결한 텍스트로 브랜드의 핵심 가치를 체계적으로 전달합니다. 반투명한 흰색 박스는 가독성을 높여줍니다."
"17","Comparison","생활용품","<div style='text-align:center; padding:20px; background-color:#fff;'><h1 style='font-size:24px; font-weight:bold; color:#000; margin-bottom:10px;'>리뉴얼 안내</h1><p style='font-size:14px; color:#333; margin-bottom:30px;'>리뉴얼 진행중인 상품으로 상품 본품 디자인 및 라벨 내 힙유 관련 내용 및 전성분이 상이한 동일 제품을 수령하실 수 있습니다.</p><div style='display:flex; justify-content:center; gap:10px;'><div style='width:48%;'><div style='background-color:#808080; color:#fff; padding:10px; font-weight:bold;'>리뉴얼 전</div><div style='border:1px solid #ccc; padding:10px;'><img src='[구형 도브 바디워시 제품 전면 및 후면 라벨 이미지]' style='width:100%;'></div></div><div style='width:48%;'><div style='background-color:#808080; color:#fff; padding:10px; font-weight:bold;'>리뉴얼 후</div><div style='border:1px solid #ccc; padding:10px;'><img src='[신형 도브 바디워시 제품 전면 및 후면 라벨 이미지]' style='width:100%;'></div></div></div></div>","제품 리뉴얼 정보를 명확하게 전달하기 위한 안내 스타일입니다. 회색 헤더를 사용하여 '이전'과 '이후'를 구분하고, 제품 라벨 이미지를 나란히 배치하여 시각적인 비교를 용이하게 합니다. 전체적으로 정보 전달에 초점을 맞춘 깔끔하고 기능적인 디자인입니다."
"18","Introduction","생활용품","<div style='background:url([흐릿한 흰색과 베이지색 배경]) no-repeat center center; background-size:cover; text-align:center; padding:50px 20px;'><h2 style='font-size:22px; color:#005494; font-weight:bold;'>어떤 걸 써야 할지 고민된다면?</h2><p style='font-size:16px; color:#333; margin-top:10px;'>내 피부 타입에 맞춰 골라보세요.</p><img src='[반원 형태로 배치된 5개의 도브 바디워시 제품 이미지]' style='margin-top:20px; width:80%;'><h3 style='font-size:20px; color:#000; font-weight:bold; margin-top:30px;'>7일간의 경험으로<br>#촉촉 피부 자신감!</h3><p style='font-size:14px; color:#555; margin-top:10px;'>7일 후, 93%가 경험한<br>촉촉하고 부드러워진 피부</p></div>","부드럽고 깨끗한 느낌을 주는 소개 스타일입니다. 파스텔 톤의 흐릿한 배경 위에 제품 라인업을 부드러운 곡선으로 배치하여 시선을 집중시킵니다. 파란색을 포인트 컬러로 사용하여 브랜드의 신뢰감과 청량감을 전달합니다."
"19","KeyFeatures","생활용품","<div style='background-color:#fff; padding:50px 20px; text-align:center;'><h3 style='font-size:20px; color:#005494; font-weight:bold;'>KEY INGREDIENT</h3><div style='margin-top:30px;'><h4 style='font-size:18px; color:#000;'>더 깊이 채워주는 10겹 보습</h4><p style='font-size:14px; color:#555; margin-top:5px;'>10겹의 각질층까지 깊은 보습감을 전달</p></div><div style='margin-top:30px;'><h4 style='font-size:18px; color:#000;'>프리바이오틱스</h4><p style='font-size:14px; color:#555; margin-top:5px;'>피부 마이크로바이옴 밸런스를 건강하게</p></div></div>","제품의 핵심 성분을 간결하게 설명하는 정보 중심 스타일입니다. 아이콘이나 그래픽 없이 텍스트만으로 구성하여 가독성을 높였습니다. 굵은 제목과 파란색 포인트 컬러를 사용하여 중요한 정보를 강조하며, 충분한 여백을 두어 깔끔한 인상을 줍니다."
"20","KeyFeatures","생활용품","<div style='background:url([흰색과 연한 회색의 부드러운 그라데이션 배경]) no-repeat center center; background-size:cover; padding:50px 20px; display:flex; align-items:center; justify-content:center;'><img src='[도브 뷰티너리싱 바디워시 제품 단독 이미지]' style='width:35%;'><div style='text-align:left; padding-left:20px;'><h2 style='font-size:22px; font-weight:bold; color:#000;'>촉촉함의 차이가<br>눈으로 보이고, 피부로 느껴져요.</h2><p style='font-size:16px; color:#555; margin-top:15px;'>프리바이오틱스가 함유된 바디워시로<br>오래도록 촉촉하게 건강한 피부관리</p></div></div>","제품의 핵심 가치를 감성적으로 전달하는 스타일입니다. 큰 제품 이미지와 간결한 카피를 조합하여 주목도를 높입니다. 부드러운 그라데이션 배경을 사용하여 고급스럽고 편안한 느낌을 강조합니다."
"21","KeyFeatures","생활용품","<div style='background-color:#fff; padding:40px 20px; text-align:center;'><h3 style='font-size:20px; color:#005494; font-weight:bold;'>FEEL THE DIFFERENCE</h3><div style='display:flex; justify-content:space-around; align-items:center; margin-top:30px; border-top:1px solid #eee; border-bottom:1px solid #eee; padding:20px 0;'><div style='width:45%;'><img src='[물방울 모양 아이콘]' style='width:50px;'><h4 style='font-size:16px; color:#000; margin-top:10px;'>놀라운 수분력</h4><p style='font-size:14px; color:#555; margin-top:5px;'>피부 속까지 촉촉하게</p></div><div style='width:1px; height:80px; background-color:#ccc;'></div><div style='width:45%;'><img src='[깃털 모양 아이콘]' style='width:50px;'><h4 style='font-size:16px; color:#000; margin-top:10px;'>부드러운 피부결</h4><p style='font-size:14px; color:#555; margin-top:5px;'>매끄럽고 부드럽게</p></div></div></div>","제품 사용 후의 효과를 두 가지 핵심 포인트로 나누어 시각적으로 비교하는 스타일입니다. 아이콘과 짧은 텍스트를 활용하여 정보를 쉽게 인지할 수 있도록 하고, 중앙의 분리선으로 각 특징을 명확히 구분합니다."
"22","UsageGuide","생활용품","<div style='background:url([연한 파스텔톤의 물결무늬 배경]) no-repeat center center; background-size:cover; padding:50px 20px; text-align:center;'><h3 style='font-size:20px; color:#005494; font-weight:bold;'>SKIN TYPE</h3><p style='font-size:14px; color:#555; margin-top:5px;'>내 피부 고민에 맞춰 선택하세요</p><div style='margin-top:30px;'><h4 style='font-size:16px; color:#000; font-weight:bold;'>건성 피부를 위한 추천</h4><img src='[도브 뷰티너리싱 및 시어버터 제품 이미지]' style='width:60%; margin-top:10px;'></div><div style='margin-top:30px;'><h4 style='font-size:16px; color:#000; font-weight:bold;'>중건성 피부를 위한 추천</h4><img src='[도브 센서티브 및 릴랙싱 제품 이미지]' style='width:60%; margin-top:10px;'></div><div style='margin-top:30px;'><h4 style='font-size:16px; color:#000; font-weight:bold;'>지성 피부를 위한 추천</h4><img src='[도브 리프레싱 제품 이미지]' style='width:30%; margin-top:10px;'></div></div>","피부 타입별로 적합한 제품을 추천하는 가이드 스타일입니다. 각 피부 타입 제목 아래에 관련 제품 이미지를 배치하여 사용자가 쉽게 자신에게 맞는 제품을 찾을 수 있도록 돕습니다. 부드러운 배경 패턴으로 편안한 느낌을 줍니다."
"23","KeyFeatures","생활용품","<div style='background-color:#fff; padding:50px 20px;'><h3 style='font-size:20px; color:#005494; font-weight:bold; text-align:center;'>FRAGRANCE</h3><div style='display:flex; align-items:center; margin-top:30px;'><img src='[도브 시어버터 제품과 시어버터, 바닐라 원료 이미지]' style='width:40%;'><div style='padding-left:15px;'><h4 style='font-size:16px; font-weight:bold; color:#000;'>시어버터와 바닐라</h4><p style='font-size:14px; color:#555; margin-top:5px;'>따뜻하고 포근한 향</p></div></div><div style='display:flex; align-items:center; margin-top:30px;'><img src='[도브 릴랙싱 제품과 벚꽃, 플럼 원료 이미지]' style='width:40%;'><div style='padding-left:15px;'><h4 style='font-size:16px; font-weight:bold; color:#000;'>체리&플럼</h4><p style='font-size:14px; color:#555; margin-top:5px;'>달콤하고 싱그러운 향</p></div></div></div>","제품의 향을 시각적으로 표현하는 감성적인 스타일입니다. 제품 이미지와 함께 향의 원료 이미지를 배치하여 향을 연상시키기 쉽게 만듭니다. 텍스트와 이미지를 조화롭게 배치하여 매력적인 느낌을 전달합니다."
"24","KeyFeatures","생활용품","<div style='background:url([흰색 배경에 파란색 물결이 흐르는 듯한 그래픽]) no-repeat center center; background-size:cover; padding:50px 20px; text-align:center;'><h3 style='font-size:20px; color:#005494; font-weight:bold;'>TEXTURE</h3><img src='[손등 위에 부드럽게 펴발린 흰색 크림 제형의 바디워시 텍스처 클로즈업 이미지]' style='width:60%; margin-top:20px; border-radius:50%;'><p style='font-size:14px; color:#333; margin-top:15px;'>부드럽고 크리미한 제형</p></div>","제품의 텍스처를 강조하는 미니멀한 스타일입니다. 원형 프레임 안에 텍스처 이미지를 넣어 집중도를 높이고, '크리미함'과 '부드러움'이라는 제품 속성을 시각적으로 부각시킵니다. 배경의 그래픽이 청량감을 더합니다."
